# Query Group 1 Filters: tissues: musculature | cellTypes: muscle cell, muscle precursor cell, cell of skeletal muscle, skeletal muscle satellite stem cell, skeletal muscle satellite cell, skeletal muscle fiber, myotube
# Query Group 2 Filters: tissues: skin of body | cellTypes: fibroblast, skin fibroblast
Gene,Log Fold Change,Effect Size,Adjusted P-Value
RP11-586D5.3,0.000,0.004,1.963e-1
ENSG00000289178,0.000,0.004,1.963e-1
CTD-2199O4.3,0.000,0.004,1.963e-1
RP11-18B3.3,0.000,0.004,1.963e-1
RP11-211N8.2,0.000,0.004,1.961e-1
RP11-317O24.2,0.000,0.004,1.964e-1
RP11-161H23.10,0.000,0.004,1.964e-1
AC008154.4,0.000,0.004,1.964e-1
OR8J3,0.000,0.004,1.964e-1
RP11-63C8.1,0.000,0.004,1.964e-1
RP5-1136G13.3,0.000,0.004,1.964e-1
Y_RNA_ENSG00000200922,0.000,0.004,1.964e-1
FOXB2,0.000,0.004,1.964e-1
RP11-1023L17.2,0.000,0.004,1.964e-1
RNY3P7,0.000,0.004,1.964e-1
RP11-494M8.1,0.000,0.004,1.964e-1
KRTAP12-3,0.000,0.004,1.964e-1
H3P25,0.000,0.004,1.964e-1
MTND3P19,0.000,0.004,1.964e-1
TMPRSS11GP,0.000,0.004,1.965e-1
MIR4786,0.000,0.004,1.965e-1
MIPEPP1,0.000,0.004,1.965e-1
RP11-310J24.3,0.000,0.004,1.965e-1
RP4-612B15.2,0.000,0.004,1.965e-1
RP11-3J10.7,0.000,0.004,1.965e-1
CTD-2619J13.16,0.000,0.004,1.965e-1
RP11-78J21.7,0.000,0.004,1.965e-1
RP11-553D4.2,0.000,0.004,1.965e-1
ENSG00000288980,0.000,0.004,1.965e-1
Y_RNA_ENSG00000206582,0.000,0.004,1.965e-1
RP11-247I13.12,0.000,0.004,1.966e-1
LL21NC02-1C16.1,0.000,0.004,1.966e-1
RP11-520D19.1,0.000,0.004,1.966e-1
RP11-320N7.1,0.000,0.004,1.966e-1
ENSG00000289012,0.000,0.004,1.966e-1
RP11-196G11.4,0.000,0.004,1.966e-1
RN7SL169P,0.000,0.004,1.966e-1
MIRLET7A1,0.000,0.004,1.966e-1
RP11-613O14.1,0.000,0.004,1.966e-1
Y_RNA_ENSG00000200883,0.000,0.004,1.966e-1
AC019181.3,0.000,0.004,1.966e-1
RP11-810P12.1,0.000,0.004,1.966e-1
LILRA5,0.000,0.004,1.964e-1
PRAMEF10,0.000,0.004,1.967e-1
AP000431.1,0.000,0.004,1.967e-1
RP11-466A19.6,0.000,0.004,1.967e-1
ENSG00000289106,0.000,0.004,1.967e-1
GS1-39E22.1,0.000,0.004,1.967e-1
ENSG00000289466,0.000,0.004,1.967e-1
RP11-178L8.5,0.000,0.004,1.967e-1
RP11-60E8.2,0.000,0.004,1.967e-1
ZNF886P,0.000,0.004,1.967e-1
Y_RNA_ENSG00000199732,0.000,0.004,1.967e-1
RP11-9N20.3,0.000,0.004,1.966e-1
AL163953.2,0.000,0.004,1.968e-1
ENSG00000289529,0.000,0.004,1.968e-1
RP11-7F17.1,0.000,0.004,1.968e-1
RP11-163H6.1,0.000,0.004,1.968e-1
RP11-807C20.2,0.000,0.004,1.968e-1
RP11-405L18.4,0.000,0.004,1.968e-1
ENSG00000252236.1,0.000,0.004,1.968e-1
CTB-58E17.5,0.000,0.004,1.966e-1
Y_RNA_ENSG00000207092,0.000,0.004,1.969e-1
RP11-366M4.17,0.000,0.004,1.969e-1
RP11-576O3.1,0.000,0.004,1.969e-1
RP11-29H20.2,0.000,0.004,1.969e-1
LINC02292,0.000,0.004,1.969e-1
RP5-1107A17.4,0.000,0.004,1.969e-1
ENPP7P2,0.000,0.004,1.968e-1
TRIM75P,0.000,0.004,1.969e-1
Y_RNA_ENSG00000238713,0.000,0.004,1.969e-1
RP11-264L1.3,0.000,0.004,1.970e-1
ENSG00000289342,0.000,0.004,1.970e-1
CTA-796E4.4,0.000,0.004,1.970e-1
PCGEM1,0.000,0.004,1.970e-1
RP3-453I5.3,0.000,0.004,1.970e-1
PNPLA10P,0.000,0.004,1.970e-1
CTC-503J8.9,0.000,0.004,1.971e-1
RNU6-610P,0.000,0.004,1.971e-1
RP11-452D12.1,0.000,0.004,1.971e-1
MCRIP2P1,0.000,0.004,1.971e-1
MRGPRG-AS1,0.000,0.004,1.971e-1
ZNF705B,0.000,0.004,1.971e-1
DAP-DT,0.000,0.004,1.970e-1
CGB1,0.000,0.004,1.972e-1
RNA5SP271,0.000,0.004,1.972e-1
ENSG00000290034,0.000,0.004,1.972e-1
RP11-4C20.4,0.000,0.004,1.972e-1
SPECC1P1,0.000,0.004,1.972e-1
RP11-359M6.2,0.000,0.004,1.972e-1
RP11-793H4.2,0.000,0.004,1.972e-1
RP11-115E19.1,0.000,0.004,1.972e-1
RP11-364F8.1,0.000,0.004,1.971e-1
U4_ENSG00000274197,0.000,0.004,1.973e-1
CTD-2290C23.1,0.000,0.004,1.973e-1
ENSG00000288948,0.000,0.004,1.970e-1
RP11-374N13.1,0.000,0.004,1.973e-1
AC114730.11,0.000,0.004,1.973e-1
ENSG00000289223,0.000,0.004,1.974e-1
CTD-2335O3.4,0.000,0.004,1.975e-1
ENSG00000289141,0.000,0.004,1.975e-1
CTB-171P15.2,0.000,0.004,1.975e-1
AC005785.5,0.000,0.004,1.975e-1
CTD-2200A16.1,0.000,0.004,1.975e-1
RP11-95O2.1,0.000,0.004,1.974e-1
RP11-123C5.5,0.000,0.004,1.977e-1
SFTPA1,0.000,0.004,1.975e-1
RP11-395M19.1,0.000,0.004,1.977e-1
RP11-96C23.13,0.000,0.004,1.977e-1
ADGRA1-AS1,0.000,0.004,1.977e-1
RP11-269M20.1,0.000,0.004,1.977e-1
AC006538.1,0.000,0.004,1.977e-1
RP11-573M3.2,0.000,0.004,1.978e-1
RNU4-50P,0.000,0.004,1.978e-1
CTD-2561B21.3,0.000,0.004,1.978e-1
LINC01177,0.000,0.004,1.978e-1
RP11-521L9.2,0.000,0.004,1.978e-1
RP4-583K8.1,0.000,0.004,1.978e-1
RNU6-487P,0.000,0.004,1.978e-1
ECMXP,0.000,0.004,1.978e-1
AP001619.2,0.000,0.004,1.979e-1
RP11-415I12.2,0.000,0.004,1.979e-1
RP4-681L3.3,0.000,0.004,1.978e-1
RP11-216M21.5,0.000,0.004,1.979e-1
RP11-325K19.7,0.000,0.004,1.980e-1
RP11-245J9.6,0.000,0.004,1.975e-1
RP11-605F20.1,0.000,0.004,1.980e-1
RP11-56P9.4,0.000,0.004,1.980e-1
RP11-802E16.3,0.000,0.004,1.977e-1
AC006028.11,0.000,0.004,1.981e-1
RP11-805J14.3,0.000,0.004,1.981e-1
RP1-181J22.1,0.000,0.004,1.981e-1
AC005519.4,0.000,0.004,1.981e-1
CTD-2047H16.2,0.000,0.004,1.981e-1
RP3-340N1.2,0.000,0.004,1.981e-1
LINC01713,0.000,0.004,1.981e-1
MIR5690,0.000,0.004,1.981e-1
RN7SL30P,0.000,0.004,1.981e-1
SMC3P1,0.000,0.004,1.982e-1
RP11-575A19.3,0.000,0.004,1.982e-1
RP11-338O1.2,0.000,0.004,1.985e-1
CTB-31N19.2,0.000,0.004,1.985e-1
RP11-51F16.9,0.000,0.004,1.985e-1
AC011648.1,0.000,0.004,1.985e-1
AKR1C8P,0.000,0.004,1.986e-1
RP11-5P4.2,0.000,0.004,1.985e-1
AP000439.2,0.000,0.004,1.986e-1
7SK_ENSG00000274303,0.000,0.004,1.988e-1
AC124057.5,0.000,0.004,1.988e-1
LINC02686,0.000,0.004,1.988e-1
H3P33,0.000,0.004,1.988e-1
RP3-525L6.2,0.000,0.004,1.989e-1
AC063976.7,0.000,0.004,1.989e-1
UBA52P5,0.000,0.004,1.989e-1
MIR502,0.000,0.004,1.989e-1
RP11-1141N12.1,0.000,0.004,1.989e-1
RP11-485M7.1,0.000,0.004,1.990e-1
LINC01475,0.000,0.004,1.990e-1
AC093142.2,0.000,0.004,1.991e-1
AC098795.1,0.000,0.004,1.991e-1
RP3-399L15.1,0.000,0.004,1.992e-1
SMIM34A,0.000,0.004,1.990e-1
LA16c-313D11.12,0.000,0.004,1.992e-1
RP11-474L11.5,0.000,0.004,1.992e-1
RP11-137H2.4,0.000,0.004,1.989e-1
RP11-124N19.4,0.000,0.004,1.993e-1
RP11-466F5.6,0.000,0.004,1.993e-1
RP11-813B8.1,0.000,0.004,1.993e-1
H2BP6,0.000,0.004,1.993e-1
RP11-907D1.1,0.000,0.004,1.993e-1
HIKESHIP1,0.000,0.004,1.993e-1
ENSG00000289272,0.000,0.004,1.993e-1
SNORD11B,0.000,0.004,1.994e-1
AC084149.1,0.000,0.004,1.995e-1
RP11-115M14.1,0.000,0.004,1.995e-1
RP11-453E17.3,0.000,0.004,1.995e-1
RNU6-306P,0.000,0.004,1.995e-1
SNORD115-47,0.000,0.004,1.996e-1
RNASE8,0.000,0.004,1.996e-1
RP11-1079J22.1,0.000,0.004,1.996e-1
ASS1P2,0.000,0.004,1.997e-1
CTC-458G6.4,0.000,0.004,1.997e-1
CH17-264B6.5,0.000,0.004,1.997e-1
RP11-47J17.1,0.000,0.004,1.998e-1
RP11-659F24.1,0.000,0.004,1.998e-1
CYCSP28,0.000,0.004,1.998e-1
PTDSS1,0.001,0.004,1.993e-1
CTD-2382H12.2,0.000,0.004,1.998e-1
C4BPAP1,0.000,0.004,1.999e-1
AC140076.1,0.000,0.004,1.999e-1
TRPC7-AS2,0.000,0.004,1.999e-1
CD81-AS1,0.000,0.004,1.995e-1
RHPN2P1,0.000,0.004,1.999e-1
AC005262.4,0.000,0.004,1.999e-1
RP11-330H6.6,0.000,0.004,2.000e-1
MIR548E,0.000,0.004,2.000e-1
RP11-386I23.1,0.000,0.004,2.001e-1
RP4-583P15.16,0.000,0.004,1.998e-1
ENSG00000288823,0.000,0.004,2.001e-1
CTD-3220F14.2,0.000,0.004,2.001e-1
TPTE2P4,0.000,0.004,2.002e-1
RP11-255B23.1,0.000,0.004,2.002e-1
RP11-142I20.2,0.000,0.004,2.002e-1
RP11-677O4.4,0.000,0.004,2.003e-1
BTNL2,0.000,0.004,2.000e-1
RP11-364P22.4,0.000,0.004,2.001e-1
ENSG00000289112,0.000,0.004,2.004e-1
RP11-173A16.2,0.000,0.004,2.004e-1
SRSF6P2,0.000,0.004,2.004e-1
AF001548.3,0.000,0.004,2.005e-1
RP5-1173A5.1,0.000,0.004,2.005e-1
RP11-172E10.1,0.000,0.004,2.006e-1
RP11-141M1.4,0.000,0.004,2.006e-1
SNORD114-4,0.000,0.004,2.004e-1
ENSG00000289426,0.000,0.004,2.007e-1
RP11-771K4.3,0.000,0.004,2.008e-1
RP5-963E22.6,0.000,0.004,2.006e-1
RP11-467H10.1,0.000,0.004,2.009e-1
LINC00929,0.000,0.004,2.005e-1
RP11-388A16.2,0.000,0.004,2.009e-1
RP11-314C16.1,0.000,0.004,2.009e-1
ENSG00000289177,0.000,0.004,2.011e-1
MIR542,0.000,0.004,2.013e-1
MIR6514,0.000,0.004,2.013e-1
RP1,0.000,0.004,2.008e-1
RP11-486M3.5,0.000,0.004,2.015e-1
ENSG00000289045,0.000,0.004,2.011e-1
FAM74A1,0.000,0.004,2.015e-1
AC133633.1,0.000,0.004,2.016e-1
RP5-876B10.7,0.000,0.004,2.012e-1
PNRC1-DT,0.000,0.004,2.013e-1
NUDT16L2P,0.000,0.004,2.017e-1
RP11-25D3.1,0.000,0.004,2.018e-1
RP11-219B17.5,0.000,0.004,2.020e-1
ZCCHC3,0.001,0.004,2.014e-1
U3_ENSG00000212511,0.000,0.004,2.020e-1
LINC00280,0.000,0.004,2.021e-1
MIR3680-2,0.000,0.004,2.021e-1
HYI-AS1,0.000,0.004,2.016e-1
CTD-2566J3.1,0.000,0.004,2.017e-1
RP11-33E12.2,0.000,0.004,2.024e-1
Y_RNA_ENSG00000200685,0.000,0.004,2.024e-1
HNRNPA3P9,0.000,0.004,2.025e-1
RP11-849F2.10,0.000,0.004,2.026e-1
RNU4-24P,0.000,0.004,2.027e-1
RP4-775C13.1,0.000,0.004,2.027e-1
RP4-604G5.4,0.000,0.004,2.027e-1
CTA-246H3.8,0.000,0.004,2.028e-1
KHDRBS2-OT1,0.000,0.004,2.029e-1
RP11-566K11.7,0.000,0.004,2.029e-1
RP11-16L9.1,0.000,0.004,2.029e-1
POU5F1P5,0.000,0.004,2.030e-1
OR2B4P,0.000,0.004,2.030e-1
RP11-727M10.1,0.000,0.004,2.029e-1
MEIS3P2,0.000,0.004,2.031e-1
LINC02471,0.000,0.004,2.027e-1
MIR23B,0.000,0.004,2.033e-1
CTD-2547L24.3,0.000,0.004,2.033e-1
RNU7-37P,0.000,0.004,2.033e-1
RP5-1116C7.2,0.000,0.004,2.033e-1
ENSG00000288826,0.000,0.004,2.033e-1
RP11-843B15.4,0.000,0.004,2.035e-1
RP5-968J1.1,0.000,0.004,2.035e-1
RP11-7M10.2,0.000,0.004,2.035e-1
RP1-33L1.2,0.000,0.004,2.035e-1
RP11-187C18.3,0.000,0.004,2.037e-1
RP11-334C17.3,0.000,0.004,2.039e-1
TATDN2P3,0.000,0.004,2.036e-1
TMEM25,0.001,0.004,2.034e-1
RP11-274J7.2,0.000,0.004,2.039e-1
RP11-486M3.4,0.000,0.004,2.039e-1
RP11-170N16.2,0.000,0.004,2.041e-1
HSD3BP3,0.000,0.004,2.042e-1
MIR938,0.000,0.004,2.043e-1
Y_RNA_ENSG00000200049,0.000,0.004,2.043e-1
RP11-115H13.1,0.000,0.004,2.043e-1
FABP5P15,0.000,0.004,2.043e-1
RP4-644F6.4,0.000,0.004,2.042e-1
C17orf102,0.000,0.004,2.045e-1
RP11-172F4.7,0.000,0.004,2.047e-1
AC072061.2,0.000,0.004,2.047e-1
RNA5SP162,0.000,0.004,2.047e-1
RP11-131K17.1,0.000,0.004,2.047e-1
RNU6-1026P,0.000,0.004,2.048e-1
STAC2,0.000,0.004,2.043e-1
LINC02070,0.000,0.004,2.050e-1
RP11-363H12.3,0.000,0.004,2.051e-1
ENSG00000290057,0.000,0.004,2.051e-1
RP11-284H19.1,0.000,0.004,2.053e-1
RD3,0.000,0.004,2.053e-1
ENSG00000288934,0.000,0.004,2.056e-1
VN2R19P,0.000,0.004,2.059e-1
LINC01280,0.000,0.004,2.054e-1
RP11-389O22.4,0.000,0.004,2.060e-1
RN7SL277P,0.000,0.004,2.060e-1
OR3A1,0.000,0.004,2.056e-1
ENSG00000288926,0.000,0.004,2.062e-1
RNU6-142P,0.000,0.004,2.062e-1
RN7SL57P,0.000,0.004,2.062e-1
ENSG00000289018,0.000,0.004,2.062e-1
Y_RNA_ENSG00000200164,0.000,0.004,2.062e-1
CTC-268N12.3,0.000,0.004,2.062e-1
LY6G6C,0.000,0.004,2.058e-1
LINC02567,0.000,0.004,2.061e-1
ENSG00000289372,0.000,0.004,2.064e-1
RP11-794M8.2,0.000,0.004,2.065e-1
GID8,0.001,0.004,2.060e-1
CHST13,0.000,0.004,2.063e-1
ACTE1P,0.000,0.004,2.067e-1
CTD-2550O8.7,0.000,0.004,2.068e-1
ABCD2,0.000,0.004,2.062e-1
ENSG00000290047,0.000,0.004,2.070e-1
RP11-588D3.1,0.000,0.004,2.070e-1
RP11-369K16.1,0.000,0.004,2.071e-1
RPL32P2,0.000,0.004,2.072e-1
PTMAP1,0.000,0.004,2.072e-1
RP4-539M6.20,0.000,0.004,2.072e-1
CTD-2017D11.2,0.000,0.004,2.076e-1
OR11K2P,0.000,0.004,2.076e-1
MIR6071,0.000,0.004,2.077e-1
FGF4,0.000,0.004,2.075e-1
RP11-536P6.3,0.000,0.004,2.075e-1
CTB-26E19.1,0.000,0.004,2.078e-1
RP11-71J4.2,0.000,0.004,2.080e-1
RP11-339B21.10,0.000,0.004,2.080e-1
RP11-631M6.3,0.000,0.004,2.082e-1
DSTNP3,0.000,0.004,2.082e-1
CPHL1P,0.000,0.004,2.084e-1
TLR1,0.000,0.004,2.078e-1
KRT90P,0.000,0.004,2.086e-1
ENSG00000289200,0.000,0.004,2.086e-1
RP5-891H21.5,0.000,0.004,2.087e-1
RP11-630A13.4,0.000,0.004,2.087e-1
RP11-386G11.8,0.000,0.004,2.087e-1
RP5-1164C1.2,0.000,0.004,2.087e-1
AC118754.4,0.000,0.004,2.093e-1
RPL21P122,0.000,0.004,2.093e-1
RP11-73G16.3,0.000,0.004,2.094e-1
RNU4-40P,0.000,0.004,2.093e-1
RP11-384L8.1,0.000,0.004,2.097e-1
CD300LG,0.000,0.004,2.092e-1
Y_RNA_ENSG00000200788,0.000,0.004,2.098e-1
LINC00261,0.000,0.004,2.098e-1
SNORD113-6,0.000,0.004,2.102e-1
RP11-178H8.7,0.000,0.004,2.104e-1
RP11-690I21.2,0.000,0.004,2.105e-1
LINC01765,0.000,0.004,2.104e-1
RP11-407H3.1,0.000,0.004,2.110e-1
RP11-453N18.1,0.000,0.004,2.107e-1
RN7SL384P,0.000,0.004,2.113e-1
PAICSP7,0.000,0.004,2.113e-1
AP000462.1,0.000,0.004,2.113e-1
HIKESHIP3,0.000,0.004,2.117e-1
RP11-295M18.8,0.000,0.004,2.115e-1
SPACA6P-AS,0.000,0.004,2.113e-1
VSTM2A-OT1,0.000,0.004,2.119e-1
RP11-659G9.3,0.000,0.004,2.119e-1
STSP1,0.000,0.004,2.119e-1
CHMP7,0.001,0.004,2.117e-1
RP11-71G12.1,0.000,0.004,2.124e-1
ENSG00000289550,0.000,0.004,2.124e-1
LINC01750,0.000,0.004,2.119e-1
RP1-20N2.8,0.000,0.004,2.128e-1
ENSG00000239093.1,0.000,0.004,2.129e-1
RP11-1113L8.6,0.000,0.004,2.130e-1
CTC-398G3.2,0.000,0.004,2.131e-1
CDK18,0.001,0.004,2.125e-1
CTD-2651B20.6,0.000,0.004,2.129e-1
ENSG00000289611,0.000,0.004,2.132e-1
ENSG00000289591,0.000,0.004,2.133e-1
ENSG00000289376,0.000,0.004,2.133e-1
MTND5P26,0.000,0.004,2.137e-1
MIR4494,0.000,0.004,2.139e-1
IFITM3P4,0.000,0.004,2.141e-1
MIR329-2,0.000,0.004,2.143e-1
AC115617.2,0.000,0.004,2.145e-1
RP11-642M2.4,0.000,0.004,2.146e-1
RP11-401F12.1,0.000,0.004,2.151e-1
AC003104.1,0.000,0.004,2.150e-1
RUNDC3B,0.001,0.004,2.146e-1
ENSG00000290146,0.000,0.004,2.149e-1
ENSG00000275908.1,0.000,0.004,2.158e-1
RP5-820A21.2,0.000,0.004,2.160e-1
RP4-660H19.2,0.000,0.004,2.156e-1
RP11-157K17.7,0.000,0.004,2.162e-1
DLX1,0.000,0.004,2.157e-1
RNU6-999P,0.000,0.004,2.163e-1
LINC02375,0.000,0.004,2.164e-1
PCDHA1,0.000,0.004,2.161e-1
LPP-AS2,0.000,0.004,2.160e-1
ENSG00000288872,0.000,0.004,2.165e-1
NKX2-3,0.000,0.004,2.163e-1
RNA5SP152,0.000,0.004,2.170e-1
CH17-260O16.1,0.000,0.004,2.171e-1
RP11-345F18.3,0.000,0.004,2.175e-1
RP11-433N2.1,0.000,0.004,2.174e-1
LINC02822,0.000,0.004,2.178e-1
ENSG00000289627,0.000,0.004,2.176e-1
ENPP7P4,0.000,0.004,2.176e-1
LINC01166,0.000,0.004,2.182e-1
RP11-705O3.3,0.000,0.004,2.191e-1
RP11-512F24.1,0.000,0.004,2.197e-1
CH507-39O4.1,0.000,0.004,2.195e-1
RP4-635A23.3,0.000,0.004,2.199e-1
RP3-414A15.12,0.000,0.004,2.202e-1
DEFA3,0.000,0.004,2.198e-1
RP11-553N16.6,0.000,0.004,2.205e-1
RP11-237N19.3,0.000,0.004,2.202e-1
UTS2R,0.000,0.004,2.202e-1
RP11-78C3.1,0.000,0.004,2.204e-1
RP5-1021I20.8,0.000,0.004,2.207e-1
RP11-375D13.4,0.000,0.004,2.213e-1
ENSG00000289419,0.000,0.004,2.212e-1
FRY-AS1,0.000,0.004,2.210e-1
RNU6-433P,0.000,0.004,2.215e-1
LINC01030,0.000,0.004,2.218e-1
ENSG00000289353,0.000,0.004,2.227e-1
RP11-667K14.20,0.000,0.004,2.231e-1
RP11-452G18.2,0.000,0.004,2.233e-1
Y_RNA_ENSG00000223271,0.000,0.004,2.238e-1
RNU6-534P,0.000,0.004,2.238e-1
RP11-609N14.1,0.000,0.004,2.237e-1
RP11-21M24.6,0.000,0.004,2.236e-1
CLDN18,0.000,0.004,2.235e-1
RP13-63I15.1,0.000,0.004,2.242e-1
RP11-763B22.4,0.000,0.004,2.237e-1
LINC02617,0.000,0.004,2.237e-1
RP11-805F19.6,0.000,0.004,2.246e-1
LINC02359,0.000,0.004,2.250e-1
AC055764.1,0.000,0.004,2.254e-1
GPRACR,0.000,0.004,2.255e-1
Y_RNA_ENSG00000206739,0.000,0.004,2.260e-1
LINC01632,0.000,0.004,2.256e-1
RP11-78B10.2,0.000,0.004,2.259e-1
NAPRT,0.001,0.004,2.260e-1
RP11-178F10.3,0.000,0.004,2.268e-1
HNRNPH2,0.001,0.004,2.262e-1
EFCAB15P,0.000,0.004,2.266e-1
RP11-157E16.1,0.000,0.004,2.268e-1
RP11-96A1.5,0.000,0.004,2.271e-1
CTD-2651B20.4,0.000,0.004,2.274e-1
XXbac-BPG300A18.15,0.000,0.004,2.283e-1
RNA5SP269,0.000,0.004,2.288e-1
CH507-528H12.12,0.000,0.004,2.293e-1
RAMP2-AS1,0.001,0.004,2.291e-1
RNU6-444P,0.000,0.004,2.300e-1
RP11-85B7.5,0.000,0.004,2.298e-1
RNU6-260P,0.000,0.004,2.306e-1
RP1-296L11.1,0.000,0.004,2.314e-1
LRRC61,0.000,0.004,2.310e-1
CSTL1,0.000,0.004,2.314e-1
RP5-1022I14.2,0.000,0.004,2.315e-1
ENSG00000238390.1,0.000,0.004,2.318e-1
RLN2,0.000,0.004,2.319e-1
RP11-299H22.7,0.000,0.004,2.328e-1
CLEC19A,0.000,0.004,2.327e-1
GIMD1,0.000,0.004,2.333e-1
RP11-327L3.7,0.000,0.004,2.339e-1
LINC02720,0.000,0.004,2.339e-1
CH17-262A2.1,0.000,0.004,2.343e-1
RP11-839D17.3,0.000,0.004,2.340e-1
RP11-394I13.3,0.000,0.004,2.341e-1
RP11-639B1.3,0.000,0.004,2.357e-1
RNA5SP343,0.000,0.004,2.358e-1
MIR3682,0.000,0.004,2.361e-1
RNU6-1024P,0.000,0.004,2.362e-1
TRIM49B,0.000,0.004,2.362e-1
RP11-350J20.17,0.000,0.004,2.364e-1
RP11-412D9.4,0.000,0.004,2.369e-1
RP11-562L8.1,0.000,0.004,2.375e-1
RP11-69K20.1,0.000,0.004,2.378e-1
SSX1,0.000,0.004,2.380e-1
ENPP7,0.000,0.004,2.382e-1
RP11-325E5.1,0.000,0.004,2.385e-1
SNORD36C,0.000,0.004,2.390e-1
RP11-564C24.2,0.000,0.004,2.398e-1
IFITM3P5,0.000,0.004,2.398e-1
RP11-167N24.5,0.000,0.004,2.401e-1
RP11-136L23.2,0.000,0.004,2.401e-1
CTD-2528A14.1,0.000,0.004,2.404e-1
RP11-597D13.8,0.000,0.004,2.414e-1
LINC02851,0.000,0.004,2.412e-1
NPEPPSP1,0.000,0.004,2.425e-1
BCYRN1,0.000,0.004,2.424e-1
U3_ENSG00000201368,0.000,0.004,2.435e-1
WI2-1959D15.3,0.000,0.004,2.437e-1
CITF22-92A6.1,0.000,0.004,2.441e-1
ENSG00000288756,0.000,0.004,2.450e-1
RASSF10,0.000,0.004,2.445e-1
TTC41P,0.000,0.004,2.451e-1
KRT36,0.000,0.004,2.455e-1
CTD-2012K14.2,0.000,0.004,2.458e-1
RP11-588H7.1,0.000,0.004,2.459e-1
RP11-403D15.2,0.000,0.004,2.466e-1
STX1B,0.000,0.004,2.466e-1
RP11-58A18.2,0.000,0.004,2.472e-1
AC004800.1,0.000,0.004,2.471e-1
RP11-182L21.5,0.000,0.004,2.482e-1
KB-1608C10.2,0.000,0.004,2.488e-1
RP4-784A16.1,0.000,0.004,2.500e-1
RP11-80H5.2,0.000,0.004,2.506e-1
RP11-10N23.2,0.000,0.004,2.514e-1
RP3-466I7.2,0.000,0.004,2.514e-1
H2BC11,0.000,0.004,2.516e-1
ZNF793-AS1,0.000,0.004,2.525e-1
RASA4DP,0.000,0.004,2.528e-1
LINC00888,0.000,0.004,2.528e-1
SNORD81_ENSG00000199934,0.000,0.004,2.534e-1
RP11-461L13.5,0.000,0.004,2.537e-1
RP11-248J18.2,0.000,0.004,2.539e-1
RP1-249F5.3,0.000,0.004,2.540e-1
FAM131B-AS1,0.000,0.004,2.545e-1
SPDEF,0.000,0.004,2.545e-1
RP11-312A15.5,0.000,0.004,2.553e-1
IGFBP1,0.000,0.004,2.550e-1
RP11-454K7.3,0.000,0.004,2.550e-1
RP4-561L24.3,0.000,0.004,2.552e-1
POU1F1,0.000,0.004,2.553e-1
RP11-719N22.2,0.000,0.004,2.553e-1
ENSG00000288785,0.000,0.004,2.561e-1
KB-67B5.12,0.000,0.004,2.566e-1
CYBB,0.000,0.004,2.563e-1
RP11-283I3.1,0.000,0.004,2.570e-1
LINC01450,0.000,0.004,2.566e-1
AF131215.8,0.000,0.004,2.566e-1
MIR504,0.000,0.004,2.575e-1
RP11-569G13.3,0.000,0.004,2.575e-1
RP11-236P2.2,0.000,0.004,2.575e-1
FAM238B,0.000,0.004,2.580e-1
KRT18P31,0.000,0.004,2.585e-1
ZNRD2,0.001,0.004,2.582e-1
ENPP7P7,0.000,0.004,2.585e-1
SRGAP3-AS2,0.000,0.004,2.597e-1
CBS,0.000,0.004,2.596e-1
RN7SL138P,0.000,0.004,2.611e-1
AC079779.4,0.000,0.004,2.622e-1
RP11-642A1.2,0.000,0.004,2.622e-1
CYP4A26P,0.000,0.004,2.628e-1
LINC02625,0.000,0.004,2.624e-1
RP11-206L10.8,0.000,0.004,2.630e-1
OR52N1,0.000,0.004,2.627e-1
SNORD58,0.000,0.004,2.633e-1
SNORD62B,0.000,0.004,2.635e-1
ENSG00000289138,0.000,0.004,2.633e-1
HAUS5-DT,0.000,0.004,2.637e-1
RP11-314N13.3,0.000,0.004,2.639e-1
RP11-558B7.1,0.000,0.004,2.643e-1
RP11-109N23.5,0.000,0.004,2.650e-1
ENSG00000288818,0.000,0.004,2.651e-1
SNCB,0.000,0.004,2.653e-1
RP11-1094M14.14,0.000,0.004,2.657e-1
RP11-31F15.4,0.000,0.004,2.655e-1
RTP1,0.000,0.004,2.660e-1
ZNF208,0.000,0.004,2.657e-1
RP11-85K15.3,0.000,0.004,2.661e-1
RP4-614O4.11,0.000,0.004,2.663e-1
CCER1,0.000,0.004,2.666e-1
RP11-252P19.2,0.000,0.004,2.668e-1
LINC01689,0.000,0.004,2.671e-1
RP11-394J1.3,0.000,0.004,2.682e-1
C12orf77,0.000,0.004,2.686e-1
MCIDAS,0.000,0.004,2.693e-1
RP11-676J12.8,0.000,0.004,2.694e-1
OR5H1,0.000,0.004,2.697e-1
RP5-1014D13.2,0.000,0.004,2.695e-1
ABC7-481722F1.2,0.000,0.004,2.703e-1
RP11-76E17.2,0.000,0.004,2.706e-1
AC004160.4,0.000,0.004,2.705e-1
CTA-212A2.4,0.000,0.004,2.705e-1
LINC00994,0.000,0.004,2.712e-1
Y_RNA_ENSG00000199201,0.000,0.004,2.720e-1
GCSHP3,0.000,0.004,2.719e-1
RP11-856M9.1,0.000,0.004,2.724e-1
RP11-89N17.1,0.000,0.004,2.725e-1
SLC26A7,0.001,0.004,2.729e-1
RP11-182M20.2,0.000,0.004,2.747e-1
RP11-7F17.10,0.000,0.003,2.751e-1
RP11-815J21.2,0.000,0.003,2.752e-1
TLR6,0.000,0.003,2.750e-1
